English,Bangla,Banglish
I'm looking forward to the summer break this year. injured.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,Amader kalke project er shobkichu final korte hobe.
I'm looking forward to the summer break this year. O+.,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে?,Amra porer shoptaho parke jawar porikolpona korchi. urgent.
Does anyone have the notes from today's lecture? bags.,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।",Amader kalke project er shobkichu final korte hobe. patients.
"The match was so intense, but our team managed to win. bags.",আগামীকালকের মিটিং কোথায় হবে?,Amader kalke project er shobkichu final korte hobe.
Does anyone have the notes from today's lecture?,আগামীকালকের মিটিং কোথায় হবে? blood.,Amader kalke project er shobkichu final korte hobe.
Is the hospital nearby open during emergencies?,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।",Ajker lecture er notes karo kase ache?
"The match was so intense, but our team managed to win. blood.",আজকের লেকচারের নোটস কারো কাছে আছে কি?,Amra porer shoptaho parke jawar porikolpona korchi.
The patient's condition is improving after receiving O+ blood. emergency.,আমাদের আগামীকাল প্রজেক্টের সবকিছু চূড়ান্ত করতে হবে।,"Khela khub uttejona purno chilo, kintu amader dol jitse."
The patient's condition is improving after receiving O+ blood.,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,"Rogir obostha onek bhalo, O+ rokto pawar por."
Is the hospital nearby open during emergencies? B+.,আহত লোকটি তাড়াতাড়ি হাসপাতালে নিয়ে যাওয়া হয়েছে। hospital.,Amra porer shoptaho parke jawar porikolpona korchi.
The patient's condition is improving after receiving O+ blood. bags.,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,Ei bochor grissho er chhuti r jonno onek excited achi.
The injured man was rushed to the nearest hospital for treatment.,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,Ahoto lok hospital e niye jawa hoyeche taratari.
We are planning to visit the park next weekend.,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি। patients.,Ei bochor grissho er chhuti r jonno onek excited achi.
Does anyone have the notes from today's lecture?,আহত লোকটি তাড়াতাড়ি হাসপাতালে নিয়ে যাওয়া হয়েছে।,Amra porer shoptaho parke jawar porikolpona korchi.
Is the hospital nearby open during emergencies?,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,"Rogir obostha onek bhalo, O+ rokto pawar por."
Does anyone have the notes from today's lecture? B+.,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে?,Ahoto lok hospital e niye jawa hoyeche taratari. blood group.
The patient's condition is improving after receiving O+ blood.,আহত লোকটি তাড়াতাড়ি হাসপাতালে নিয়ে যাওয়া হয়েছে।,"Rogir obostha onek bhalo, O+ rokto pawar por."
We need to finalize the project details by tomorrow. injured.,আহত লোকটি তাড়াতাড়ি হাসপাতালে নিয়ে যাওয়া হয়েছে।,"Khela khub uttejona purno chilo, kintu amader dol jitse."
The patient's condition is improving after receiving O+ blood.,আহত লোকটি তাড়াতাড়ি হাসপাতালে নিয়ে যাওয়া হয়েছে।,Amader kalke project er shobkichu final korte hobe.
I'm looking forward to the summer break this year.,আজকের লেকচারের নোটস কারো কাছে আছে কি?,"Rogir obostha onek bhalo, O+ rokto pawar por."
Can someone confirm the location for tomorrow's meeting?,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর। patients.",Amader kalke project er shobkichu final korte hobe.
We need to finalize the project details by tomorrow. B+.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি। O+.,"Rogir obostha onek bhalo, O+ rokto pawar por. urgent."
I'm looking forward to the summer break this year.,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি। injured.,Amader kalke project er shobkichu final korte hobe.
The patient's condition is improving after receiving O+ blood.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি। bags.,"Khela khub uttejona purno chilo, kintu amader dol jitse. blood group."
"The situation of our campus is not good, everyone be alert. bags.",আহত লোকটি তাড়াতাড়ি হাসপাতালে নিয়ে যাওয়া হয়েছে। injured.,Kachakachi kono hospital khola ache emergency te?
"The situation of our campus is not good, everyone be alert. B+.",আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে? hospital.,Kachakachi kono hospital khola ache emergency te?
I'm looking forward to the summer break this year.,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,"Khela khub uttejona purno chilo, kintu amader dol jitse."
Is the hospital nearby open during emergencies?,আজকের লেকচারের নোটস কারো কাছে আছে কি?,"Campus er situation bhalo noy, shobai shabdhane thakish."
The patient's condition is improving after receiving O+ blood.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,Ei bochor grissho er chhuti r jonno onek excited achi.
"The situation of our campus is not good, everyone be alert.","খেলা খুবই উত্তেজনাপূর্ণ ছিল, কিন্তু আমাদের দল জিতেছে। A+.","Campus er situation bhalo noy, shobai shabdhane thakish. blood group."
Can someone confirm the location for tomorrow's meeting? B+.,আহত লোকটি তাড়াতাড়ি হাসপাতালে নিয়ে যাওয়া হয়েছে।,"Rogir obostha onek bhalo, O+ rokto pawar por."
The injured man was rushed to the nearest hospital for treatment.,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,Ahoto lok hospital e niye jawa hoyeche taratari.
"The situation of our campus is not good, everyone be alert.","ক্যাম্পাসের পরিস্থিতি ভালো নয়, সবাই সাবধান থাকিস।","Khela khub uttejona purno chilo, kintu amader dol jitse."
We need to finalize the project details by tomorrow.,"খেলা খুবই উত্তেজনাপূর্ণ ছিল, কিন্তু আমাদের দল জিতেছে।","Campus er situation bhalo noy, shobai shabdhane thakish. urgent."
"The situation of our campus is not good, everyone be alert. location.",এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি। bags.,"Khela khub uttejona purno chilo, kintu amader dol jitse."
Can someone confirm the location for tomorrow's meeting?,আজকের লেকচারের নোটস কারো কাছে আছে কি?,Ajker lecture er notes karo kase ache?
Does anyone have the notes from today's lecture? urgent.,আজকের লেকচারের নোটস কারো কাছে আছে কি?,Kachakachi kono hospital khola ache emergency te? injured.
Can someone confirm the location for tomorrow's meeting? blood group.,"ক্যাম্পাসের পরিস্থিতি ভালো নয়, সবাই সাবধান থাকিস।",Ajker lecture er notes karo kase ache?
"The situation of our campus is not good, everyone be alert.",আহত লোকটি তাড়াতাড়ি হাসপাতালে নিয়ে যাওয়া হয়েছে। bags.,Amader kalke project er shobkichu final korte hobe. injured.
Does anyone have the notes from today's lecture? location.,আগামীকালকের মিটিং কোথায় হবে? urgent.,Amra porer shoptaho parke jawar porikolpona korchi.
Does anyone have the notes from today's lecture? A+.,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।",Ahoto lok hospital e niye jawa hoyeche taratari.
The injured man was rushed to the nearest hospital for treatment. O+.,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে? A+.,Ahoto lok hospital e niye jawa hoyeche taratari.
"The situation of our campus is not good, everyone be alert.",আগামীকালকের মিটিং কোথায় হবে?,Ahoto lok hospital e niye jawa hoyeche taratari.
The injured man was rushed to the nearest hospital for treatment.,আজকের লেকচারের নোটস কারো কাছে আছে কি? patients.,Amader kalke project er shobkichu final korte hobe.
"The match was so intense, but our team managed to win.",আমাদের আগামীকাল প্রজেক্টের সবকিছু চূড়ান্ত করতে হবে। emergency.,Ajker lecture er notes karo kase ache?
I'm looking forward to the summer break this year. O+.,আহত লোকটি তাড়াতাড়ি হাসপাতালে নিয়ে যাওয়া হয়েছে।,Amra porer shoptaho parke jawar porikolpona korchi.
Is the hospital nearby open during emergencies?,আগামীকালকের মিটিং কোথায় হবে? injured.,Agamikaler meeting er location ki hobe?
Can someone confirm the location for tomorrow's meeting?,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি। location.,Ei bochor grissho er chhuti r jonno onek excited achi.
The patient's condition is improving after receiving O+ blood.,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে?,Amader kalke project er shobkichu final korte hobe.
"The match was so intense, but our team managed to win. hospital.",আগামীকালকের মিটিং কোথায় হবে?,Ei bochor grissho er chhuti r jonno onek excited achi.
"The situation of our campus is not good, everyone be alert. urgent.",এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,Kachakachi kono hospital khola ache emergency te? blood group.
Does anyone have the notes from today's lecture?,আহত লোকটি তাড়াতাড়ি হাসপাতালে নিয়ে যাওয়া হয়েছে।,Amader kalke project er shobkichu final korte hobe.
"The match was so intense, but our team managed to win.","খেলা খুবই উত্তেজনাপূর্ণ ছিল, কিন্তু আমাদের দল জিতেছে। injured.","Campus er situation bhalo noy, shobai shabdhane thakish. hospital."
Does anyone have the notes from today's lecture? hospital.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি। A+.,Kachakachi kono hospital khola ache emergency te?
Can someone confirm the location for tomorrow's meeting? patients.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি। A+.,Amader kalke project er shobkichu final korte hobe.
I'm looking forward to the summer break this year.,"ক্যাম্পাসের পরিস্থিতি ভালো নয়, সবাই সাবধান থাকিস।",Ahoto lok hospital e niye jawa hoyeche taratari.
Can someone confirm the location for tomorrow's meeting? location.,"ক্যাম্পাসের পরিস্থিতি ভালো নয়, সবাই সাবধান থাকিস।",Amader kalke project er shobkichu final korte hobe.
"The match was so intense, but our team managed to win.","রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।",Ajker lecture er notes karo kase ache?
"The situation of our campus is not good, everyone be alert. injured.","ক্যাম্পাসের পরিস্থিতি ভালো নয়, সবাই সাবধান থাকিস।",Ei bochor grissho er chhuti r jonno onek excited achi. urgent.
The injured man was rushed to the nearest hospital for treatment.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,Amra porer shoptaho parke jawar porikolpona korchi. hospital.
We are planning to visit the park next weekend.,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,Agamikaler meeting er location ki hobe?
We need to finalize the project details by tomorrow. B+.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,Ahoto lok hospital e niye jawa hoyeche taratari. urgent.
Can someone confirm the location for tomorrow's meeting?,"খেলা খুবই উত্তেজনাপূর্ণ ছিল, কিন্তু আমাদের দল জিতেছে।","Campus er situation bhalo noy, shobai shabdhane thakish."
Does anyone have the notes from today's lecture?,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,"Campus er situation bhalo noy, shobai shabdhane thakish. injured."
I'm looking forward to the summer break this year. hospital.,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে?,Ajker lecture er notes karo kase ache?
"The match was so intense, but our team managed to win. location.",আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,"Rogir obostha onek bhalo, O+ rokto pawar por."
The patient's condition is improving after receiving O+ blood.,"খেলা খুবই উত্তেজনাপূর্ণ ছিল, কিন্তু আমাদের দল জিতেছে।",Amader kalke project er shobkichu final korte hobe. injured.
We are planning to visit the park next weekend.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,Amader kalke project er shobkichu final korte hobe.
We need to finalize the project details by tomorrow.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,Ahoto lok hospital e niye jawa hoyeche taratari.
"The situation of our campus is not good, everyone be alert.","খেলা খুবই উত্তেজনাপূর্ণ ছিল, কিন্তু আমাদের দল জিতেছে।",Ahoto lok hospital e niye jawa hoyeche taratari.
Does anyone have the notes from today's lecture?,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,"Campus er situation bhalo noy, shobai shabdhane thakish."
The patient's condition is improving after receiving O+ blood. patients.,আমাদের আগামীকাল প্রজেক্টের সবকিছু চূড়ান্ত করতে হবে। emergency.,Amra porer shoptaho parke jawar porikolpona korchi. A+.
Can someone confirm the location for tomorrow's meeting? bags.,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে?,Ei bochor grissho er chhuti r jonno onek excited achi.
We are planning to visit the park next weekend. emergency.,"খেলা খুবই উত্তেজনাপূর্ণ ছিল, কিন্তু আমাদের দল জিতেছে।",Amader kalke project er shobkichu final korte hobe.
Does anyone have the notes from today's lecture? location.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,"Campus er situation bhalo noy, shobai shabdhane thakish."
Is the hospital nearby open during emergencies? emergency.,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,Kachakachi kono hospital khola ache emergency te? emergency.
I'm looking forward to the summer break this year. B+.,আগামীকালকের মিটিং কোথায় হবে?,Ajker lecture er notes karo kase ache?
I'm looking forward to the summer break this year.,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।",Ahoto lok hospital e niye jawa hoyeche taratari.
