English,Bangla,Banglish
Does anyone have the notes from today's lecture?,আহত লোকটি তাড়াতাড়ি হাসপাতালে নিয়ে যাওয়া হয়েছে।,"Khela khub uttejona purno chilo, kintu amader dol jitse."
Does anyone have the notes from today's lecture?,আজকের লেকচারের নোটস কারো কাছে আছে কি?,Ajker lecture er notes karo kase ache?
The patient's condition is improving after receiving O+ blood.,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।",Ajker lecture er notes karo kase ache?
"The match was so intense, but our team managed to win.","রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।",Amra porer shoptaho parke jawar porikolpona korchi.
Does anyone have the notes from today's lecture? bags.,"ক্যাম্পাসের পরিস্থিতি ভালো নয়, সবাই সাবধান থাকিস।",Ahoto lok hospital e niye jawa hoyeche taratari.
"The match was so intense, but our team managed to win.",আমাদের আগামীকাল প্রজেক্টের সবকিছু চূড়ান্ত করতে হবে। blood.,Amra porer shoptaho parke jawar porikolpona korchi.
Can someone confirm the location for tomorrow's meeting? B+.,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,Ahoto lok hospital e niye jawa hoyeche taratari.
Can someone confirm the location for tomorrow's meeting?,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,Amra porer shoptaho parke jawar porikolpona korchi. location.
I'm looking forward to the summer break this year. emergency.,আজকের লেকচারের নোটস কারো কাছে আছে কি? emergency.,Agamikaler meeting er location ki hobe?
Is the hospital nearby open during emergencies? blood.,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর। blood.",Kachakachi kono hospital khola ache emergency te? injured.
I'm looking forward to the summer break this year.,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে?,Ajker lecture er notes karo kase ache? blood group.
The patient's condition is improving after receiving O+ blood.,আজকের লেকচারের নোটস কারো কাছে আছে কি?,Ajker lecture er notes karo kase ache?
Does anyone have the notes from today's lecture?,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে?,Amader kalke project er shobkichu final korte hobe. emergency.
We need to finalize the project details by tomorrow.,"ক্যাম্পাসের পরিস্থিতি ভালো নয়, সবাই সাবধান থাকিস।","Rogir obostha onek bhalo, O+ rokto pawar por."
We are planning to visit the park next weekend.,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,"Campus er situation bhalo noy, shobai shabdhane thakish."
The injured man was rushed to the nearest hospital for treatment.,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।",Ahoto lok hospital e niye jawa hoyeche taratari. injured.
Is the hospital nearby open during emergencies?,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,Amader kalke project er shobkichu final korte hobe.
Is the hospital nearby open during emergencies?,আগামীকালকের মিটিং কোথায় হবে?,Ahoto lok hospital e niye jawa hoyeche taratari. urgent.
"The match was so intense, but our team managed to win.","রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।","Campus er situation bhalo noy, shobai shabdhane thakish. injured."
The injured man was rushed to the nearest hospital for treatment. location.,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে?,Amader kalke project er shobkichu final korte hobe.
The patient's condition is improving after receiving O+ blood. hospital.,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর। blood group.",Agamikaler meeting er location ki hobe?
The patient's condition is improving after receiving O+ blood.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি। O+.,Agamikaler meeting er location ki hobe? B+.
Can someone confirm the location for tomorrow's meeting?,আমাদের আগামীকাল প্রজেক্টের সবকিছু চূড়ান্ত করতে হবে।,Ajker lecture er notes karo kase ache? emergency.
I'm looking forward to the summer break this year. patients.,আজকের লেকচারের নোটস কারো কাছে আছে কি?,"Rogir obostha onek bhalo, O+ rokto pawar por. injured."
Is the hospital nearby open during emergencies?,"ক্যাম্পাসের পরিস্থিতি ভালো নয়, সবাই সাবধান থাকিস। B+.",Agamikaler meeting er location ki hobe? B+.
Is the hospital nearby open during emergencies?,আগামীকালকের মিটিং কোথায় হবে?,Amader kalke project er shobkichu final korte hobe.
Does anyone have the notes from today's lecture?,"ক্যাম্পাসের পরিস্থিতি ভালো নয়, সবাই সাবধান থাকিস। patients.",Amader kalke project er shobkichu final korte hobe. blood group.
I'm looking forward to the summer break this year. bags.,"খেলা খুবই উত্তেজনাপূর্ণ ছিল, কিন্তু আমাদের দল জিতেছে। blood group.","Campus er situation bhalo noy, shobai shabdhane thakish."
We need to finalize the project details by tomorrow.,আগামীকালকের মিটিং কোথায় হবে?,Amader kalke project er shobkichu final korte hobe. blood group.
We are planning to visit the park next weekend.,আহত লোকটি তাড়াতাড়ি হাসপাতালে নিয়ে যাওয়া হয়েছে।,Ahoto lok hospital e niye jawa hoyeche taratari.
Does anyone have the notes from today's lecture? blood.,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে? A+.,Ajker lecture er notes karo kase ache?
