SL,Name of facility,Email,Phone / Mobile
1,Barguna District Hospital (Code:10001943),barguna@hospi.dghs.gov.bd,44862264 / 01711076416
2,Barisal General Hospital (Code:10001972),barisal@hospi.dghs.gov.bd,043164372 / 01715005533
3,Bhola District Hospital (Code:10002002),bhola@hospi.dghs.gov.bd,04962974 / 01712645252
4,Jhalokathi District Hospital (Code:10002025),jhalkathi@hospi.dghs.gov.bd,49862723 / 01712163530
5,Patuakhali 250 bed Sadar Hospital (Code:10002051),patuakhali@hospi.dghs.gov.bd,044162530 / 01730324763
6,Pirojpur District Hospital (Code:10002067),pirojpur@hospi.dghs.gov.bd,46162233 / 01712213033
7,"District Family Planning Office, Pirojpur (Code:10024005)",ddfppiroj@yahoo.com,046162468 / 01716895518
8,Bandarban District Hospital (Code:10000655),bandarban@hospi.dghs.gov.bd,036162544 / 01746215350
9,Bangladesh Korea Moitree Hospital (Code:10002298),bkmh@hospi.dghs.gov.bd,029360172 /
10,"Brahmanbaria 250 Bed District Sadar Hospital(Code:10000672)",brahmanbaria@hospi.dghs.gov.bd,85159282 / 01730324766
11,Chandpur 250 Bed General Hospital (Code:10000700),chandpur@hospi.dghs.gov.bd,84163293 / 01712273188
12,"Divisional Police Hospital, Chattogram (Code:10025023)",,
13,Chittagong 250 Bed General Hospital (Code:10000753),chittagong@hospi.dghs.gov.bd,031616786 / 01711971512
14,"Cox's Bazar 250 Bed District Sadar Hospital(Code:10000922)",coxsbazar@hospi.dghs.gov.bd,034163884 / 01730324770
15,Comilla General Hospital (Code:10000864),comilla@hospi.dghs.gov.bd,08176762 / 01712078619
16,Feni 250 Bed District Sadar Hospital (Code:10000954),feni@hospi.dghs.gov.bd,33174045 / 01732781591
17,Khagrachari District Hospital (Code:10000976),khagrachari@hospi.dghs.gov.bd,037161523 / 01712109957
18,Lakshmipur District Hospital (Code:10001001),laxmipur@hospi.dghs.gov.bd,38155585 / 01711207908
19,Noakhali 250 Bed General Hospital (Code:10001049),noakhali@hospi.dghs.gov.bd,032161333 / 01715241399
20,Rangamati General Hospital (Code:10001088),rangamati@hospi.dghs.gov.bd,35162119 / 01554303477
21,"Kuwait Bangladesh Friendship Govt. Hospital(Code:10023662)",kbfgh@hospi.dghs.gov.bd,
SL,Name of facility,Email,Phone / Mobile
22,Faridpur General Hospital (Code:10000105),faridpur@hospi.dghs.gov.bd,63162580 / 01712501611
23,"Shaheed Ahsan Ullah Master General Hospital(Code:10000129)",tongi@hospi.dghs.gov.bd,/ 01703783678
24,Gazipur District Hospital (Code:10000137),gazipur@hospi.dghs.gov.bd,9261281 / 01798048394
25,Gopalganj 250 bed General Hospital (Code:10002233),gopalganj@hospi.dghs.gov.bd,026685424 / 01730324778
26,"Kishoreganj 250 Bed District Sadar Hospital(Code:10000243)",kishoreganj@hospi.dghs.gov.bd,94161776 / 01712564606
27,Madaripur District Hospital (Code:10000263),madaripur@hospi.dghs.gov.bd,66161614 / 01730324781
28,Manikganj 250 Bed District Hospital (Code:10000297),manikganj@hospi.dghs.gov.bd,027710778 / 01715646362
29,Munshiganj 250 bed District Hospital (Code:10000328),munshiganj@hospi.dghs.gov.bd,027610477 / 01730324783
30,Narayanganj 300 Bed Hospital (Code:10000425),narayanganjd@hospi.dghs.gov.bd,7643622 / 01730324785
31,Narayanganj General (Victoria) Hospital (Code:10000427),narayanganjg@hospi.dghs.gov.bd,027648425 / 01715471871
32,Narsingdi District Hospital (Code:10000452),narsingdi@hospi.dghs.gov.bd,29462092 / 01797000888
33,Narsingdi 100 Bed Zilla Hospital (Code:10000453),n100b@hospi.dghs.gov.bd,29463517 / 01730324787
34,Rajbari District Hospital (Code:10000536),rajbari@hospi.dghs.gov.bd,64165673 / 01769957196
35,Shariatpur District Hospital (Code:10000559),shariatpur@hospi.dghs.gov.bd,60161652 / 01730324790
36,Tangail 250 Bed District Hospital (Code:10000647),tangail@hospi.dghs.gov.bd,092163027 / 01769957199
37,Bagerhat District Hospital (Code:10001693),bagerhat@hospi.dghs.gov.bd,046862214 / 01748967908
38,Chuadanga District Hospital (Code:10001723),chuadanga@hospi.dghs.gov.bd,76162445 / 01711448880
39,Jessore 250 bed General Hospital (Code:10013096),jessore@hospi.dghs.gov.bd,042161090 / 01718071234
40,Jhenaidah District Hospital (Code:10001776),jhenaidah@hospi.dghs.gov.bd,45162202 / 01711159335
41,"Khulna 250 Bed General Hospital, Khulna(Code:10001805)",khulna@hospi.dghs.gov.bd,041721128 / 01730324797
42,Kushtia 250 bed General Hospital (Code:10001862),kushtia@hospi.dghs.gov.bd,07171152 / 01715145522
SL,Name of facility,Email,Phone / Mobile
43,Magura District Hospital (Code:10001876),magura@hospi.dghs.gov.bd,48862443 / 01715019479
44,Meherpur 250 bed District Hospital (Code:10001898),meherpur@hospi.dghs.gov.bd,079162215 / 01712523153
45,Narail District Hospital (Code:10001913),narail@hospi.dghs.gov.bd,048163345 / 01714304131
46,Satkhira District Hospital (Code:10001926),satkhira@hospi.dghs.gov.bd,047163502 / 01769957145
47,Jamalpur 250 Beded General Hospital (Code:10000208),jamalpur@hospi.dghs.gov.bd,98163560 / 01711632276
48,Netrokona District Hospital (Code:10000496),netrokona@hospi.dghs.gov.bd,95161344 / 01711432353
49,Sherpur District Hospital (Code:10000576),sherpur@hospi.dghs.gov.bd,093161296 / 01718225722
50,"Bogra 250 bed Mohammad Ali District Hospital(Code:10001109)",bogra@hospi.dghs.gov.bd,05163633 / 01730324803
51,Chapai Nababganj District Hospital (Code:10001186),chapainawabganj@hospi.dghs.gov.bd,78152489 / 01730324804
52,Joypurhat District Hospital (Code:10001298),joypurhat@hospi.dghs.gov.bd,057162220 / 01793119128
53,Naogaon District Hospital (Code:10001394),naogaon@hospi.dghs.gov.bd,074162020 / 01712226651
54,Natore District Hospital (Code:10001433),natore@hospi.dghs.gov.bd,077166912 / 01712217930
55,Pabna 250 bed General Hospital (Code:10001484),pabna@hospi.dghs.gov.bd,73166110 / 01711480448
56,"250 Bed Bongamata Sheikh Fazilatunnesa Mujib GeneralHospital, Sirajganj. (Code:10001648)",serajganj@hospi.dghs.gov.bd,075162930 / 01712021071
57,Dinajpur 250 bed General Hospital (Code:10001214),dinajpur@hospi.dghs.gov.bd,053164023 / 01712711585
58,Gaibandha District Hospital (Code:10001254),gaibandha@hospi.dghs.gov.bd,054161516 / 01730324806
59,Kurigram 250 bed District Hospital (Code:10001317),kurigram@hospi.dghs.gov.bd,058161466 / 01765992262
60,Lalmonirhat District Hospital (Code:10001353),lalmonirhat@hospi.dghs.gov.bd,059161429 / 01730324809
61,Nilphamari District Hospital (Code:10001464),nilphamari@hospi.dghs.gov.bd,55161222 / 01716170424
62,Saidpur 100 Bed Hospital (Code:10001469),saidpur100beds@hospi.dghs.gov.bd,0552672333 / 01730324822
63,Panchagarh District Hospital (Code:10001514),panchagarh@hospi.dghs.gov.bd,056861656 / 01730324814
SL,Name of facility,Email,Phone / Mobile
64,Thakurgaon District Hospital (Code:10001687),thakurgaon@hospi.dghs.gov.bd,56152021 / 01762614383
65,Habiganj District Hospital (Code:10002071),hobiganj@hospi.dghs.gov.bd,083162004 / 01730324817
66,"Moulvibazar 250 bed District Sadar Hospital(Code:10002116)",moulavibazar@hospi.dghs.gov.bd,086153038 / 01716374301
67,"Sunamganj 250 bed District Sadar Hospital(Code:10002157)",sunamganj@hospi.dghs.gov.bd,087161704 / 01730324819
68,"Sylhet Shahid Shamsuddin Ahmed District Hospital(Code:10002196)",sylhet@hospi.dghs.gov.bd,821713506 / 01730324820
