Sl. No.,Organization Name,Division,District,Upazila,"No. ofBed"
1,Kukua 10 bed Hospital,Barisal,Barguna,Amtali,10
2,Chhakhar 10 bed Hospital,Barisal,Barishal,Banaripara,10
3,Kirtipasha 10 bed Hospital (RHC),Barisal,Jhalokati,Jhalokati Sadar,10
4,Guinak 10 bed Hospital (RHC),Chattogram,Brahmanbaria,Nasirnagar,10
5,Sandwip 10 bed Hospital (RHC),Chattogram,Chattogram,Sandwip,10
6,St. Martin 10 bed Hospital,Chattogram,Cox's Bazar,Teknaf,10
7,Kalikapur 10 bed Hospital (RHC),Chattogram,Cumilla,Chauddagram,10
8,Talbalchhari 10 bed Hospital (RHC),Chattogram,Khagrachhari,Matiranga,10
9,Kaptai 10 bed Hospital,Chattogram,Rangamati,Kaptai,10
10,Hajratpur 10 bed Hospital,Dhaka,Dhaka,Keraniganj,10
11,Kunda 10 bed Hospital,Dhaka,Dhaka,Keraniganj,10
12,Gopinathpur 10 bed Hospital (RHC),Dhaka,Gopalganj,Gopalganj Sadar,10
13,Kopilmuni 10 bed Hospital,Khulna,Khulna,Paikgachha,10
14,Khokshabari 10 bed Hospital (RHC),Rajshahi,Sirajganj,Sirajganj Sadar,10
15,Ramchandrapur 10 bed Hospital (RHC),Rangpur,Gaibandha,Gaibandha Sadar,10
16,Raiganj 10 bed Hospital (RHC),Rangpur,Kurigram,Nageshwari,10
17,Dahagram 10 bed Hospital,Rangpur,Lalmonirhat,Patgram,10
