Sl.No.,Organization Name,Division,District,Upazila,"No. ofBed"
1,Barguna District Hospital,Barisal,Barguna,Barguna Sadar,100
2,Barisal General Hospital,Barisal,Barishal,Barisal Sadar (kotwali),100
3,Bhola District Hospital,Barisal,Bhola,Bhola Sadar,100
4,Jhalokathi District Hospital,Barisal,Jhalokati,Jhalokati Sadar,100
5,Pirojpur District Hospital,Barisal,Pirojpur,Pirojpur Sadar,100
6,Bandarban District Hospital,Chittagong,Bandarban,Bandarban Sadar,100
7,Comilla General Hospital,Chittagong,Cumilla,Comilla Adarsha Sadar,100
8,Khagrachari District Hospital,Chittagong,Khagrachhari,Khagrachhari Sadar,100
9,Lakshmipur District Hospital,Chittagong,Lakshmipur,Lakshmipur Sadar,100
10,Rangamati General Hospital,Chittagong,Rangamati,Rangamati Sadar  Up,100
11,Faridpur General Hospital,Dhaka,Faridpur,Faridpur Sadar,100
12,Madaripur District Hospital,Dhaka,Madaripur,Madaripur Sadar,100
13,Narayanganj General (Victoria) Hospital,Dhaka,Narayanganj,Narayanganj Sadar,100
14,Narsingdi District Hospital,Dhaka,Narsingdi,Narsingdi Sadar,100
15,Rajbari District Hospital,Dhaka,Rajbari,Rajbari Sadar,100
16,Shariatpur District Hospital,Dhaka,Shariatpur,Shariatpur Sadar,100
17,Bagerhat District Hospital,Khulna,Bagerhat,Bagerhat Sadar,100
18,Chuadanga District Hospital,Khulna,Chuadanga,Chuadanga Sadar,100
19,Jhenaidah District Hospital,Khulna,Jhenaidah,Jhenaidah Sadar,100
20,Narail District Hospital,Khulna,Narail,Narail Sadar,100
21,Satkhira District Hospital,Khulna,Satkhira,Satkhira Sadar,100
22,Netrokona District Hospital,Mymensingh,Netrakona,Netrokona Sadar,100
23,Sherpur District Hospital,Mymensingh,Sherpur,Sherpur Sadar,100
24,Chapai Nababganj District Hospital,Rajshahi,Chapai Nawabganj,Chapai Nababganj Sadar,100
25,Naogaon District Hospital,Rajshahi,Naogaon,Naogaon Sadar,100
26,Natore District Hospital,Rajshahi,Natore,Natore Sadar,100
27,Lalmonirhat District Hospital,Rangpur,Lalmonirhat,Lalmonirhat Sadar,100
28,Nilphamari District Hospital,Rangpur,Nilphamari,Nilphamari Sadar,100
29,Panchagarh District Hospital,Rangpur,Panchagarh,Panchagarh Sadar,100
30,Thakurgaon District Hospital,Rangpur,Thakurgaon,Thakurgaon Sadar,100
31,Sylhet Shahid Shamsuddin Ahmed District Hospita,Sylhet,Sylhet,Sylhet Sadar,100
