Sl. No.,Organization Name,Division,District,Upazila,No. of Bed
1,Taltali 20 bed Hospital,Barisal,Barguna,Amtali,20
2,Walankathi 20 bed Hospital,Barisal,Barishal,Babuganj,20
3,South Char Aicha 20 bed Hospital,Barisal,Bhola,Charfession,20
4,Kuakata 20 bed Hospital,Barisal,Patuakhali,Kalapara,20
5,Kathaltoli 20 bed Hospital,Barisal,Patuakhali,Mirzaganj,20
6,Bibirhat 20 bed Hospital,Chattogram,Chattogram,Fatikchhari,20
7,Haramia 20 bed Hospital,Chattogram,Chattogram,Sandwip,20
8,Sonaimuri 20 bed Hospital,Chattogram,Cumilla,Barura,20
9,Mohichail 20 bed Hospital,Chattogram,Cumilla,Chandina,20
10,Bagmara 20 bed Hospital,Chattogram,Cumilla,Comilla Sadar Dakshin,20
11,Donarchar 20 bed Hospital,Chattogram,Cumilla,Daudkandi,20
12,Jodda 20 bed Hospital,Chattogram,Cumilla,Nangalkot,20
13,Char Alexander 20 bed Hospital,Chattogram,Lakshmipur,Ramgati,20
14,Char Algi 20 bed Hospital,Chattogram,Noakhali,Kabirhat,20
15,Kreshnanagar 20 bed Hospital,Dhaka,Dhaka,Dhamrai,20
16,Jinjira 20 bed Hospital,Dhaka,Dhaka,Keraniganj,20
17,Aminbazar 20 bed Hospital,Dhaka,Dhaka,Savar,20
18,Baspur 20 bed Hospital,Dhaka,Gopalganj,Kasiani,20
19,Kabirajpur 20 bed Hospital,Dhaka,Madaripur,Rajoir,20
20,Monohargram 20 bed Hospital,Dhaka,Narayanganj,Araihazar,20
21,Fatullah 20 bed Hospital,Dhaka,Narayanganj,Narayanganj Sadar,20
22,Siddirganj 20 bed Hospital,Dhaka,Narayanganj,Narayanganj Sadar,20
23,Tarabunia 20 bed Hospital,Dhaka,Shariatpur,Bhedarganj,20
24,Kodalpur 20 bed Hospital,Dhaka,Shariatpur,Gosairhat,20
25,Birolpolita 20 bed Hospital,Khulna,Magura,Magura Sadar,20
26,Binadpur 20 bed Hospital,Khulna,Magura,Mohammadpur,20
27,Charanchal 20 bed Hospital,Mymensingh,Mymensingh,Mymensingh Sadar,20
28,Santahar 20 bed Hospital,Rajshahi,Bogura,Adamdighi,20
29,Nandigram 20 bed Hospital,Rajshahi,Bogura,Nandigram,20
30,Aliahat 20 bed Hospital,Rajshahi,Bogura,Shibganj,20
31,Kaitak 20 bed Hospital,Sylhet,Sunamganj,Chhatak,20
32,Maddyanagar 20 bed Hospital,Sylhet,Sunamganj,Dharampasha,20
