SL,Name of facility,Email,Phone / Mobile
1,Dhaka Dental College Hospital (Code:10000028),ddch@hospi.dghs.gov.bd,028055487 / 01711937590
2,"Sheikh Lutfar Rahman Dental College Hospital, Gopalganj.(Code:10025187)",slrdchgopalganj@hospi.dghs.gov.bd,
3,Kurmitola 500 Bed General Hospital (Code:10017209),kurmitola500bed@hospi.dghs.gov.bd,0255062201 / 01958621817
4,"Mugda 500 Bed General Hospital, Dhaka (Code:10013720)",mugda@hospi.dghs.gov.bd,027278811 / 01711003939
5,Govt. Homeopathic Medical College Hospital (Code:10019120),ghmch@hospi.dghs.gov.bd,029002944 / 01716435893
6,Govt. Unani & Ayurvedic Medical College Hospital (Code:10002305),guamch@hospi.dghs.gov.bd,88029032048 / 01711649506
7,"Govt. Unani & Ayurvedic Medical College Hospital, Sylhet(Code:10002203)",satc@ac.dghs.gov.bd,0821717406 / 01769957053
8,Sher-e-bangla Medical College Hospital (Code:10001978),sbmch@hospi.dghs.gov.bd,43164519 / 01711389546
9,Chittagong Medical College Hospital (Code:10000756),cmch@hospi.dghs.gov.bd,031630179 / 01769247568
10,Comilla Medical College Hospital (Code:10000867),comch@hospi.dghs.gov.bd,08165401 / 01769957089
11,Sir Salimullah Medical College Hospital (Code:10000056),mitford@hospi.dghs.gov.bd,57317466 / 01755593103
12,Dhaka Medical College Hospital (Code:10000033),dmch@hospi.dghs.gov.bd,55165143 / 01715016984
13,Shaheed Suhrawardy Medical College Hospital (Code:10000051),ssh@hospi.dghs.gov.bd,58152832 / 01819402358
14,Faridpur Medical College Hospital (Code:10000108),fmch@hospi.dghs.gov.bd,063163331 / 01715012961
15,"Shaheed Taj Uddin Ahmad Medical College Hospital, Gazipur(Code:10023251)",gazipurmch@hospi.dghs.gov.bd,9261281 / 01730324777
16,Shahid Syed Nazrul Islam Medical College Hospital (Code:10024987),nazrulislammch@hospi.dghs.gov.bd,
17,"Sheikh Hasina Medical College Hospital, Tangail (Code:10024593)",,
18,Khulna Medical College Hospital (Code:10001807),kmch@hospi.dghs.gov.bd,041762601 / 01715468184
19,Satkhira 250 bed Medical College Hospital (Code:10024591),satkhiramch@hospi.dghs.gov.bd,/ 01918165786
20,Mymensingh Medical College Hospital (Code:10000397),mmch@hospi.dghs.gov.bd,09166061 / 01713332468
21,"Shaheed Ziaur Rahman Medical College Hospital, Bogra(Code:10001111)",szrmch@hospi.dghs.gov.bd,05169300 / 01798949893
22,Rajshahi Medical College Hospital (Code:10001560),rmch@hospi.dghs.gov.bd,0721775651 / 01714029424
23,M Abdur Rahim Medical College Hospital (Code:10002288),dinajmch@hospi.dghs.gov.bd,053151508 / 01774415339
24,Rangpur Medical College Hospital (Code:10001618),rangmch@hospi.dghs.gov.bd,052163630 / 01730323678
25,Sylhet MAG Osmani Medical College Hospital (Code:10002195),magomch@hospi.dghs.gov.bd,0821714613 / 01716639393
