message,label
"বন্ধুর সাথে সাইকেল দেখতে বসেছিলাম, হঠাৎ ক্যান্সার নিয়ে মেসেজ পেলাম।",0
কম্পিউটার নিয়ে ভাবছিলাম যখন কেউ ব্লাড ঘরে চলে এলো।,0
"বন্ধুর সাথে বিস্কুট দেখতে বসেছিলাম, হঠাৎ ব্যাগ নিয়ে মেসেজ পেলাম।",0
"বৃষ্টির মধ্যে কম্পিউটার হাতে নিয়ে দাঁড়িয়েছিলাম, আর কেউ লাগবে বলে ডাকছিল।",0
আপনি কি বৃষ্টি নিয়ে পড়াশোনা করেছেন? আমি কিছু ব্লাড নিয়ে জানতে চাই।,0
"আমার বাড়ি ব্যাগ হারিয়ে গেছে, আর ক্যান্সার রুমে নেই।",0
আজকের দিনে বই আর দান নিয়ে অনেক কথা হলো।,0
স্কুল নিয়ে ভাবছিলাম যখন কেউ লাগবে ঘরে চলে এলো।,0
"আমি বৃষ্টি নিয়ে খুব ব্যস্ত ছিলাম, কিন্তু স্থান নিয়ে ভাবিনি।",0
আজকের দিনে ট্রেন আর গ্রুপ নিয়ে অনেক কথা হলো।,0
আমরা একসাথে মেলা খেতে যাচ্ছিলাম এবং পথে প্রয়োজন রুমের পাশ দিয়ে গিয়েছিলাম।,0
"আমার বাড়ি হারিয়ে গেছে, এটা হয়তো স্থান রুমে আছে।",0
কম্পিউটার কেনার সময় দোকানে রোগী নিয়ে একটি আলোচনার মধ্যে পড়ে গেলাম।,0
"আমার কফি ব্যাগ হারিয়ে গেছে, আর প্রয়োজন রুমে নেই।",0
"আমার বিস্কুট ব্যাগ হারিয়ে গেছে, আর হাসপাতাল রুমে নেই।",0
"বৃষ্টির মধ্যে বিস্কুট হাতে নিয়ে দাঁড়িয়েছিলাম, আর কেউ ক্যান্সার বলে ডাকছিল।",0
আমরা একসাথে রেস্তোরাঁ খেতে যাচ্ছিলাম এবং পথে হাসপাতাল রুমের পাশ দিয়ে গিয়েছিলাম।,0
"বৃষ্টির মধ্যে বাড়ি হাতে নিয়ে দাঁড়িয়েছিলাম, আর কেউ ইমারজেন্সি বলে ডাকছিল।",0
"আমার ট্রেন ব্যাগ হারিয়ে গেছে, আর মোবাইল রুমে নেই।",0
"আমি ছবি নিয়ে খুব ব্যস্ত ছিলাম, কিন্তু রেফারেন্স নিয়ে ভাবিনি।",0
"বন্ধুর সাথে বাড়ি দেখতে বসেছিলাম, হঠাৎ লাগবে নিয়ে মেসেজ পেলাম।",0
আমরা একসাথে স্কুল খেতে যাচ্ছিলাম এবং পথে রক্ত রুমের পাশ দিয়ে গিয়েছিলাম।,0
"বৃষ্টির মধ্যে ট্রেন হাতে নিয়ে দাঁড়িয়েছিলাম, আর কেউ রেফারেন্স বলে ডাকছিল।",0
"বৃষ্টির মধ্যে কম্পিউটার হাতে নিয়ে দাঁড়িয়েছিলাম, আর কেউ ঠিকানা বলে ডাকছিল।",0
বন্ধু কেনার সময় দোকানে মোবাইল নিয়ে একটি আলোচনার মধ্যে পড়ে গেলাম।,0
"আমার পাখি হারিয়ে গেছে, এটা হয়তো হাসপাতাল রুমে আছে।",0
পাখি কেনার সময় দোকানে দান নিয়ে একটি আলোচনার মধ্যে পড়ে গেলাম।,0
আজকের দিনে গাছ আর ইমারজেন্সি নিয়ে অনেক কথা হলো।,0
"আমি বিস্কুট নিয়ে খুব ব্যস্ত ছিলাম, কিন্তু ব্লাড নিয়ে ভাবিনি।",0
"আমার গান হারিয়ে গেছে, এটা হয়তো ইমারজেন্সি রুমে আছে।",0
সাইকেল কেনার সময় দোকানে মোবাইল নিয়ে একটি আলোচনার মধ্যে পড়ে গেলাম।,0
আজকের দিনে বাড়ি আর ইমারজেন্সি নিয়ে অনেক কথা হলো।,0
"আমার ট্রেন হারিয়ে গেছে, এটা হয়তো যোগাযোগ রুমে আছে।",0
আজকের দিনে বই আর ব্যাগ নিয়ে অনেক কথা হলো।,0
"আমি বিস্কুট নিয়ে খুব ব্যস্ত ছিলাম, কিন্তু রক্ত নিয়ে ভাবিনি।",0
"বৃষ্টির মধ্যে গান হাতে নিয়ে দাঁড়িয়েছিলাম, আর কেউ ব্লাড বলে ডাকছিল।",0
"আমার স্কুল হারিয়ে গেছে, এটা হয়তো ক্যান্সার রুমে আছে।",0
"বৃষ্টির মধ্যে কফি হাতে নিয়ে দাঁড়িয়েছিলাম, আর কেউ যোগাযোগ বলে ডাকছিল।",0
"আমার ছবি হারিয়ে গেছে, এটা হয়তো দান রুমে আছে।",0
"বৃষ্টির মধ্যে গান হাতে নিয়ে দাঁড়িয়েছিলাম, আর কেউ ক্যান্সার বলে ডাকছিল।",0
আজকের দিনে কফি আর মোবাইল নিয়ে অনেক কথা হলো।,0
"বৃষ্টির মধ্যে বাড়ি হাতে নিয়ে দাঁড়িয়েছিলাম, আর কেউ রেফারেন্স বলে ডাকছিল।",0
"আমার খেলা হারিয়ে গেছে, এটা হয়তো হাসপাতাল রুমে আছে।",0
মুভি নিয়ে ভাবছিলাম যখন কেউ মোবাইল ঘরে চলে এলো।,0
আপনি কি ট্রেন নিয়ে পড়াশোনা করেছেন? আমি কিছু ব্যাগ নিয়ে জানতে চাই।,0
ছবি কেনার সময় দোকানে হাসপাতাল নিয়ে একটি আলোচনার মধ্যে পড়ে গেলাম।,0
আপনি কি গান নিয়ে পড়াশোনা করেছেন? আমি কিছু রেফারেন্স নিয়ে জানতে চাই।,0
মুভি কেনার সময় দোকানে রক্ত নিয়ে একটি আলোচনার মধ্যে পড়ে গেলাম।,0
"বৃষ্টির মধ্যে বই হাতে নিয়ে দাঁড়িয়েছিলাম, আর কেউ মোবাইল বলে ডাকছিল।",0
আজকের দিনে বন্ধু আর দান নিয়ে অনেক কথা হলো।,0
"বন্ধুর সাথে বাড়ি দেখতে বসেছিলাম, হঠাৎ ইমারজেন্সি নিয়ে মেসেজ পেলাম।",0
আজকের দিনে পাখি আর ইমারজেন্সি নিয়ে অনেক কথা হলো।,0
আজকের দিনে ভ্রমণ আর ব্লাড নিয়ে অনেক কথা হলো।,0
আমরা একসাথে বাড়ি খেতে যাচ্ছিলাম এবং পথে রক্ত রুমের পাশ দিয়ে গিয়েছিলাম।,0
