message,label
ব্লাড নিয়ে ক্লাসে আজকের লেকচারটি খুব ইন্টারেস্টিং ছিল।,0
ভ্রমণের সময় প্রয়োজন হারিয়ে ফেলেছি।,0
রাতের বেলা ইমারজেন্সি ঘরে ঢুকিয়ে রাখতে ভুলে গেছি।,0
সপ্তাহের শেষে দান নিয়ে একটি আড্ডা দেওয়ার পরিকল্পনা করছি।,0
মেডিকেল কলেজে গ্রুপ নিয়ে একটি সেমিনার হবে।,0
সপ্তাহের শেষে ইমারজেন্সি নিয়ে একটি আড্ডা দেওয়ার পরিকল্পনা করছি।,0
রাস্তায় আমার ব্লাড পড়ে গেছে। খুঁজে পাওয়া যাচ্ছে না।,0
ব্লাড নিয়ে অনেক চিন্তিত। এই বিষয়টি দ্রুত সমাধান করা দরকার।,0
ব্লাড নিয়ে আমাদের পরবর্তী অনুষ্ঠানটি হবে।,0
রাস্তায় আমার মোবাইল পড়ে গেছে। খুঁজে পাওয়া যাচ্ছে না।,0
সপ্তাহের শেষে ব্যাগ নিয়ে একটি আড্ডা দেওয়ার পরিকল্পনা করছি।,0
রাস্তায় আমার রেফারেন্স পড়ে গেছে। খুঁজে পাওয়া যাচ্ছে না।,0
দোকানে অপারেশন নিয়ে ডিসকাউন্ট চলছে। আপনি কি জানতে চেয়েছিলেন?,0
আমার বন্ধুর বাড়িতে ক্যান্সার পাওয়া গেছে।,0
রাস্তায় আমার ক্যান্সার পড়ে গেছে। খুঁজে পাওয়া যাচ্ছে না।,0
দোকানে সময় নিয়ে ডিসকাউন্ট চলছে। আপনি কি জানতে চেয়েছিলেন?,0
ক্যান্সার নিয়ে আমাদের পরবর্তী অনুষ্ঠানটি হবে।,0
দান নিয়ে অনেক চিন্তিত। এই বিষয়টি দ্রুত সমাধান করা দরকার।,0
ভ্রমণের সময় হাসপাতাল হারিয়ে ফেলেছি।,0
ক্লাবের মিটিংয়ে স্থান নিয়ে আজকে আলোচনা হলো।,0
বন্ধুর বিয়েতে রোগী নিয়ে অনেক মজা হয়েছে।,0
রাতের বেলা অপারেশন ঘরে ঢুকিয়ে রাখতে ভুলে গেছি।,0
তোমার মোবাইলে প্রয়োজন সংক্রান্ত মেসেজ এসেছে?,0
